발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-10-28 17:00:00+09,1,3,0,3,0,전남,곡성군,차대차,추돌,안전운전 의무 불이행,화물차,승용차,4,2611
2019-10-28 18:00:00+09,1,0,0,0,0,경남,양산시,차대사람,기타,안전운전 의무 불이행,화물차,보행자,5,2612
2019-10-28 23:00:00+09,1,1,0,0,1,경기,안양시,차대차,추돌,안전운전 의무 불이행,승용차,화물차,2,2613
2019-10-28 23:00:00+09,1,0,0,0,0,세종,세종시,차대사람,횡단중,신호위반,승용차,보행자,5,2614
2019-10-29 00:00:00+09,1,0,0,0,0,경기,안산시,차대사람,횡단중,신호위반,승용차,보행자,1,2615
2019-10-29 08:00:00+09,1,1,1,0,0,강원,양양군,차대차,측면충돌,기타,승용차,승용차,5,2616
2019-10-29 08:00:00+09,1,14,3,11,0,전남,해남군,차대차,기타,기타,승합차,농기계,5,2617
2019-10-29 10:00:00+09,1,0,0,0,0,전북,고창군,차대사람,보도통행중,안전운전 의무 불이행,화물차,보행자,4,2618
2019-10-29 10:00:00+09,1,0,0,0,0,경북,포항시,차량단독,공작물충돌,안전운전 의무 불이행,화물차,없음,5,2619
2019-10-29 11:00:00+09,1,0,0,0,0,경기,안양시,차대차,추돌,안전운전 의무 불이행,이륜차,화물차,4,2620
2019-10-29 12:00:00+09,1,0,0,0,0,강원,강릉시,차대차,측면충돌,안전운전 의무 불이행,화물차,특수차,5,2621
2019-10-29 17:00:00+09,1,0,0,0,0,경북,포항시,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,1,2622
2019-10-29 18:00:00+09,1,2,2,0,0,충남,태안군,차대차,추돌,안전운전 의무 불이행,승용차,화물차,5,2623
2019-10-29 19:00:00+09,1,0,0,0,0,경북,경주시,차대차,추돌,안전운전 의무 불이행,승용차,농기계,6,2624
2019-10-29 20:00:00+09,1,0,0,0,0,제주,제주시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,2,2625
